Date;Payee;Description;Amount
05/01/2026;Fake Gym;Weekly membership;-29,99
12/01/2026;Demo Streaming;Subscription plan;-16,49
12/01/2026;Fake Gym;Weekly membership;-29,99
13/01/2026;Demo Utilities;Billing correction refund;12,40
19/01/2026;Fake Gym;Weekly membership;-29,99
26/01/2026;Fake Gym;Weekly membership;-29,99
30/01/2026;Test Employer Payroll;Salary deposit ACCT-0001112223;2.500,00
02/02/2026;Fake Gym;Weekly membership;-29,99
03/02/2026;Mock Bookseller;Store pickup;-4,12
09/02/2026;Fake Gym;Weekly membership;-29,99
10/02/2026;TEST Mart;Store pickup;-54,24
12/02/2026;Demo Streaming;Subscription plan;-16,49
16/02/2026;Fake Gym;Weekly membership;-29,99
19/02/2026;Synthetic Sandwich Shop;Weekly shop;-84,33
23/02/2026;Fake Gym;Weekly membership;-29,99
27/02/2026;Test Employer Payroll;Salary deposit ACCT-0001112223;2.500,00
01/03/2026;TEST Mart;Auto payment;-65,84
02/03/2026;Fake Gym;Weekly membership;-29,99
09/03/2026;Fake Gym;Weekly membership;-29,99
13/03/2026;Demo Streaming;Subscription plan;-15,74
16/03/2026;Fake Gym;Weekly membership;-29,99
19/03/2026;Mock Bookseller;Online order;-8,19
23/03/2026;Fake Gym;Weekly membership;-29,99
28/03/2026;Hypothetical Hardware;Store pickup;-48,04
30/03/2026;Fake Gym;Weekly membership;-29,99
31/03/2026;Test Employer Payroll;Salary deposit ACCT-0001112223;2.500,00
31/03/2026;TEST Mart;Auto payment;-85,28
