Date,Description,Amount
2026-01-05,Fake Gym - Weekly membership,-29.99
2026-01-05,Fake Coffee Co - Online order,-48.10
2026-01-11,Synthetic Sandwich Shop - Card purchase,-74.88
2026-01-12,Demo Streaming - Subscription plan,-16.24
2026-01-12,Fake Gym - Weekly membership,-29.99
2026-01-19,Fake Gym - Weekly membership,-29.99
2026-01-26,Fake Gym - Weekly membership,-29.99
2026-01-30,Test Employer Payroll - Salary deposit ACCT-0001112223,2500.00
2026-02-02,Fake Gym - Weekly membership,-29.99
2026-02-03,Fake Coffee Co - Weekly shop,-58.83
2026-02-09,Fake Gym - Weekly membership,-29.99
2026-02-12,Demo Streaming - Subscription plan,-16.49
2026-02-12,Fake Coffee Co - Store pickup,-16.17
2026-02-12,Pretend Pharmacy - Card purchase,-68.12
2026-02-16,Fake Gym - Weekly membership,-29.99
2026-02-17,Mock Bookseller - Weekly shop,-18.29
2026-02-23,Fake Gym - Weekly membership,-29.99
2026-02-27,Test Employer Payroll - Salary deposit ACCT-0001112223,2500.00
2026-03-02,Fake Gym - Weekly membership,-29.99
2026-03-09,Fake Gym - Weekly membership,-29.99
2026-03-10,Demo Utilities - Billing correction refund,12.40
2026-03-12,Mock Bookseller - Service fee,-57.05
2026-03-13,Demo Streaming - Subscription plan,-15.99
2026-03-16,Fake Gym - Weekly membership,-29.99
2026-03-23,Fake Gym - Weekly membership,-29.99
2026-03-30,Fake Gym - Weekly membership,-29.99
2026-03-31,Test Employer Payroll - Salary deposit ACCT-0001112223,2500.00
