Date,Payee,Reference,Amount
05/01/2026,Fake Gym,REF-0001,-29.99
10/01/2026,Café Crêpe Faux,REF-0002,-78.81
10/01/2026,Pharmacie Fictive,REF-0003,-39.15
12/01/2026,Demo Streaming,REF-0004,-15.74
12/01/2026,Fake Gym,REF-0005,-29.99
19/01/2026,Fake Gym,REF-0006,-29.99
25/01/2026,Bäckerei Beispiel,REF-0007,-66.09
26/01/2026,Fake Gym,REF-0008,-29.99
26/01/2026,Fake Coffee Co,REF-0009,-14.60
30/01/2026,Test Employer Payroll,REF-0010,2500.00
02/02/2026,Fake Gym,REF-0011,-29.99
07/02/2026,Pretend Pharmacy,REF-0012,-68.50
09/02/2026,Fake Gym,REF-0013,-29.99
12/02/2026,Demo Streaming,REF-0014,-15.74
16/02/2026,Fake Gym,REF-0015,-29.99
16/02/2026,Synthetic Sandwich Shop,REF-0016,-72.84
23/02/2026,Fake Gym,REF-0017,-29.99
27/02/2026,Test Employer Payroll,REF-0018,2500.00
02/03/2026,Fake Gym,REF-0019,-29.99
03/03/2026,Placeholder Produce,REF-0020,-17.08
05/03/2026,Placeholder Produce,REF-0021,-54.37
09/03/2026,Fake Gym,REF-0022,-29.99
13/03/2026,Demo Streaming,REF-0023,-16.49
16/03/2026,Fake Gym,REF-0024,-29.99
23/03/2026,Fake Gym,REF-0025,-29.99
26/03/2026,Demo Utilities,REF-0026,12.40
30/03/2026,Fake Gym,REF-0027,-29.99
31/03/2026,Test Employer Payroll,REF-0028,2500.00
31/03/2026,Fake Coffee Co,REF-0029,-81.61
